title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
Disfluency Detection with a Semi-Markov Model and Prosodic Features,2015,62,33,0,f2488b84aa39f3c9e1d56b4e7984df99e3eb8feb,,0,0,5,6,6,9,11,6,10,6,3,自然语言处理
Empty Category Detection With Joint Context-Label Embeddings,2015,4,2,0,d4873898d230609ad83298e22deabf0f202c1005,,0,0,0,1,1,1,0,0,0,0,0,自然语言处理
Incrementally Tracking Reference in Human/Human Dialogue Using Linguistic and Extra-Linguistic Information,2015,10,4,0,dd34ee0474788e68abac94f2af31cf253d209c6f,,0,3,1,3,1,0,1,0,0,0,0,自然语言处理
Digital Leafleting: Extracting Structured Data from Multimedia Online Flyers,2015,3,0,0,5c6f31e9922f84363309ccb3635f0824f2e2753a,,0,0,0,1,1,1,0,0,0,0,0,多模态学习
Multi-Target Machine Translation with Multi-Synchronous Context-free Grammars,2015,7,4,0,e212f788c701370af02b138d2a61e180cddfb138,,0,2,1,0,2,1,0,1,0,0,0,自然语言处理
Sign constraints on feature weights improve a joint model of word segmentation and phonology,2015,14,2,0,ba40c5a8129b25a4d9ca89a6311f39e227cf7270,,0,1,1,1,1,6,1,1,0,0,0,自然语言处理
Semi-Supervised Word Sense Disambiguation Using Word Embeddings in General and Specific Domains,2015,112,24,4,4dab3babc6ffde1d29c305558f8d2aa488a2f620,,0,1,15,26,18,25,8,4,5,3,2,自然语言处理
Continuous Space Representations of Linguistic Typology and their Application to Phylogenetic Inference,2015,18,5,1,ec9de84c0ea2deb72eaba7115d8101ccec071af9,,0,0,3,3,2,4,5,1,0,0,0,自然语言处理
Interpreting Compound Noun Phrases Using Web Search Queries,2015,14,5,0,5c8574d6c4499ce24442014b7f76c594a57c98dd,,0,1,3,4,1,3,0,0,0,1,1,自然语言处理
Lexicon-Free Conversational Speech Recognition with Neural Networks,2015,144,59,3,55ee875b9039febd378a3f8ac4e3d7603f83d57c,,1,8,18,34,25,20,12,8,6,3,9,自然语言处理
I Can Has Cheezburger? A Nonparanormal Approach to Combining Textual and Visual Information for Predicting and Generating Popular Meme Descriptions,2015,34,11,1,4f9e9a59d0ae975a01a7fc6d3ca9645f7c633319,,0,2,1,2,4,3,9,5,2,2,1,多模态学习
A Transition-based Algorithm for AMR Parsing,2015,178,62,4,91830ca68422d6b42446631eeef696c84e602e87,,0,8,21,37,24,23,18,14,15,5,6,自然语言处理
The Geometry of Statistical Machine Translation,2015,4,1,1,0c5dba020d9a91a785f5a95fe3c90c8dd01c0e93,,0,0,1,2,0,0,1,0,0,0,0,自然语言处理
Data-driven sentence generation with non-isomorphic trees,2015,26,4,0,095eaaed82a7adda97c458683961ce146736a704,,0,6,4,8,1,3,2,1,1,0,0,自然语言处理
Latent Domain Word Alignment for Heterogeneous Corpora,2015,9,4,0,5430e7ec59f70f0254faa4c4ddf207be9fc6667a,,0,2,4,1,1,1,0,0,0,0,0,自然语言处理
Extracting Human Temporal Orientation from Facebook Language,2015,35,11,0,a34c3214e611a937532020ff5823875bda83e6e1,,0,1,7,6,4,6,4,3,3,1,0,自然语言处理
An In-depth Analysis of the Effect of Text Normalization in Social Media,2015,34,8,1,a5a395031c6f20515d8111387586e1bf3163894e,,0,0,0,4,7,4,3,5,3,2,3,自然语言处理
Using Summarization to Discover Argument Facets in Online Idealogical Dialog,2015,62,22,2,7f066a45ba83bbff476c94cf8d1a71ddb7886ade,,0,2,9,8,5,9,5,12,2,6,2,自然语言处理
Active Learning with Rationales for Text Classification,2015,32,11,0,7b1bf9cad6ef6518d450ca7cb3e308c607638b62,,0,0,3,2,8,5,7,0,2,3,2,机器学习（含深度学习）
Inferring Temporally-Anchored Spatial Knowledge from Semantic Roles,2015,7,3,0,fcbc920315c4a1f6c67bba7a684b8a7afd53325f,,0,2,3,1,0,0,1,0,0,0,0,自然语言处理
A Dynamic Programming Algorithm for Tree Trimming-based Text Summarization,2015,6,1,1,60b3d552588c7342a681194d4835dfac82f99cb5,,0,2,0,2,1,0,0,0,0,1,0,自然语言处理
Modeling Word Meaning in Context with Substitute Vectors,2015,49,25,1,8bfaca3779b121af729cac47a84d56df177eda66,,0,2,14,6,4,11,3,3,1,3,2,自然语言处理
Corpus-based discovery of semantic intensity scales,2015,13,9,0,dbc2f9969423e9bd8f195eb2ab9e8ab88d6a0973,,0,1,3,1,1,2,1,0,0,2,2,自然语言处理
Dialogue focus tracking for zero pronoun resolution,2015,15,7,0,4540fb7586fb185f2b0a7f13a519c5bedc6dc637,,0,0,2,1,2,3,1,2,1,3,0,自然语言处理
Déjà Image-Captions: A Corpus of Expressive Descriptions in Repetition,2015,43,11,0,d0fd9b23e4e9b65c44a0ab722c4a69a6ed38cc3d,,0,4,10,7,5,1,8,3,2,0,2,多模态学习
Inferring Missing Entity Type Instances for Knowledge Base Completion: New Dataset and Methods,2015,75,27,1,4e278a0fe9fbfeceb29acde435706aa790aeda56,,1,1,10,9,14,10,9,9,4,4,3,自然语言处理
Robust Morphological Tagging with Word Representations,2015,41,13,0,024c43a2237b8b982f1815c4672e866f0ba356ff,,0,4,12,6,8,4,3,1,2,0,0,自然语言处理
English orthography is not “close to optimal”,2015,3,0,0,2189fbc297e97b905865c286e5b81ac371b984b2,,0,0,0,1,0,2,0,0,0,0,0,自然语言处理
LCCT: A Semi-supervised Model for Sentiment Classification,2015,27,5,1,ed8ccc7708928d89e852fe8276f9c87f3b6e3650,,0,1,3,7,8,4,3,0,0,0,0,自然语言处理
Multiview LSA: Representation Learning via Generalized CCA,2015,91,39,0,f00b1ef1014b4ef66846383fc2743776e510aed8,,0,5,15,17,15,13,9,8,4,1,4,表示学习与优化方法
NASARI: a Novel Approach to a Semantically-Aware Representation of Items,2015,112,25,2,b4f943584acf7694cc369a42a75ba804f8493ed3,,0,6,24,23,18,11,10,9,3,3,2,表示学习与优化方法
Towards a standard evaluation method for grammatical error detection and correction,2015,68,27,0,1a4c7736f3e0b4806dbd6b6ae24b258d83e81c2f,,0,2,8,5,6,7,6,11,10,6,4,自然语言处理
Using Zero-Resource Spoken Term Discovery for Ranked Retrieval,2015,10,7,0,1f72e66cdfb49d0a311496361ac34f14663859c6,,0,2,1,2,1,0,0,2,0,1,0,自然语言处理
Constraint-Based Models of Lexical Borrowing,2015,32,9,0,70a5d0e834d1fd18ffae64068746ee39c79a5dfc,,0,2,6,2,5,0,4,4,2,0,3,自然语言处理
Model Invertibility Regularization: Sequence Alignment With or Without Parallel Data,2015,11,6,0,00d9f17b6a9a24af68c04e87fb62e4d1f1e3ecce,,0,1,1,0,2,0,1,6,0,0,0,表示学习与优化方法
Jointly Modeling Inter-Slot Relations by Random Walk on Knowledge Graphs for Unsupervised Spoken Language Understanding,2015,28,19,0,f73cd639d02185f18af0e1dbe9882e128ad587cd,,0,7,3,6,0,2,2,3,2,2,1,自然语言处理
Expanding Paraphrase Lexicons by Exploiting Lexical Variants,2015,4,0,0,b69bb95da1a6097db753d5a263f1361d582fd172,,0,0,2,0,2,0,0,0,0,0,0,自然语言处理
Diamonds in the Rough: Event Extraction from Imperfect Microblog Data,2015,13,7,0,605fa6d94be36542eadef05a5e3b3cfa1ec37fec,,0,1,3,3,2,1,0,0,1,1,0,自然语言处理
Unsupervised Dependency Parsing: Let’s Use Supervised Parsers,2015,24,10,0,8b79927546a450710e148c72f43eac18ff9910eb,,0,1,3,3,2,6,6,2,0,0,0,自然语言处理
A Linear-Time Transition System for Crossing Interval Trees,2015,20,8,0,4a247c7c19c6510b2d3923341981972a13fe9108,,0,0,5,4,8,2,1,0,0,0,0,自然语言处理
Unsupervised Multi-Domain Adaptation with Feature Embeddings,2015,45,26,1,246c31d5746e0c42ad55c14adb9ff5886e794fa8,,0,5,12,7,2,7,3,3,0,4,1,表示学习与优化方法
Ontologically Grounded Multi-sense Representation Learning for Semantic Vector Space Models,2015,108,34,2,1a28527ee485b31873e180f30997e0f9dd10140b,,0,2,18,24,18,20,10,5,3,4,4,表示学习与优化方法
Subsentential Sentiment on a Shoestring: A Crosslingual Analysis of Compositional Classification,2015,10,2,1,9fd55a3ec338c8d71aba4bf901f24376ebe7f4c3,,0,1,2,4,1,0,1,1,0,0,0,自然语言处理
Cost Optimization in Crowdsourcing Translation: Low cost translations made even cheaper,2015,14,6,1,4fdacc3b2bb87040965ce7feac81899c1cfb37e4,,0,0,5,0,1,2,2,1,1,1,0,模型可解释性、公平性、应用系统等
Multitask Learning for Adaptive Quality Estimation of Automatically Transcribed Utterances,2015,23,14,0,fda5f12d0d93c4cd49ba3c155444d78ef4f04c5c,,0,4,5,2,7,2,1,0,0,0,1,自然语言处理
Incorporating Word Correlation Knowledge into Topic Modeling,2015,98,16,4,c9675e82edfdcf0ec4b398b8eddcd8eed47936cd,,0,4,9,15,14,17,14,5,12,3,1,自然语言处理
The Unreasonable Effectiveness of Word Representations for Twitter Named Entity Recognition,2015,61,19,0,00a2a05f44a790b7886cd25192f4b91d3b81dde2,,0,8,10,11,12,9,2,6,1,1,1,自然语言处理
Is Your Anchor Going Up or Down? Fast and Accurate Supervised Topic Models,2015,41,16,0,ce1e39c817dafa262833502b3ea953914402a4d5,,0,7,6,4,8,3,2,0,6,3,2,概率统计与推理基础
Grounded Semantic Parsing for Complex Knowledge Extraction,2015,28,8,1,b083b24a6b5acec5f0bd60bb3db4c0e5ed416d9a,,0,0,12,4,5,2,1,2,0,0,1,自然语言处理
Sentiment after Translation: A Case-Study on Arabic Social Media Posts,2015,160,29,9,b03d5da2753759934632c889abc4be5f9bc8285e,,0,2,16,25,23,22,26,15,12,7,7,自然语言处理
Using External Resources and Joint Learning for Bigram Weighting in ILP-Based Multi-Document Summarization,2015,31,3,2,51c291403797ce3e4f3410d74241c976332a6627,,0,2,10,3,6,2,4,3,1,0,0,自然语言处理
Transforming Dependencies into Phrase Structures,2015,33,7,1,fed1a48da3d35694da6a75952829fbce5ea232c9,,0,4,2,5,1,5,2,5,3,4,1,自然语言处理
Improving the Inference of Implicit Discourse Relations via Classifying Explicit Discourse Connectives,2015,90,34,1,857ae0aeab2eca1689980cbf299bde72140cc2b4,,1,5,15,17,11,13,7,5,4,5,4,自然语言处理
Solving Hard Coreference Problems,2015,90,29,1,ebe84feeed3cf6a297f5a2fa504647e3eeba05b5,,0,6,8,11,17,16,15,9,1,1,3,自然语言处理
Pragmatic Neural Language Modelling in Machine Translation,2015,34,13,3,dcfade77ecd26c1b21c68021ff482dba6fef8063,,0,4,6,8,5,3,2,2,1,2,0,自然语言处理
Key Female Characters in Film Have More to Talk About Besides Men: Automating the Bechdel Test,2015,40,10,2,dfaf97f709be25faceb91e218964bd288a138e0e,,0,1,3,4,7,6,2,3,2,3,7,自然语言处理
Semantic Grounding in Dialogue for Complex Problem Solving,2015,6,3,0,48e5b8795bb2523f4cfb4dfb8bd1bc2a2d76c4a0,,0,0,1,0,0,1,0,1,0,2,0,自然语言处理
Learning Knowledge Graphs for Question Answering through Conversational Dialog,2015,133,43,4,3aa372484e7480eefa061277cd53d49172738915,,0,9,15,12,16,17,23,20,12,3,2,自然语言处理
Sentence segmentation of aphasic speech,2015,14,3,1,53392c6c5f6fd2d34cc75124fd1a854aa29b62ae,,0,0,1,4,2,2,3,1,0,1,0,自然语言处理
Semantic parsing of speech using grammars learned with weak supervision,2015,5,1,0,e97a487ec3e8bc40062c4b07faa67af8e765c766,,0,0,0,1,0,0,2,2,0,0,0,自然语言处理
Early Gains Matter: A Case for Preferring Generative over Discriminative Crowdsourcing Models,2015,17,6,0,e17e651b513cc68e81a7a4eb3ffe6d425d5ddbbb,,0,2,2,1,5,2,4,0,0,0,0,概率统计与推理基础
Optimizing Multivariate Performance Measures for Learning Relation Extraction Models,2015,4,2,0,39a4df0e88eba81d5cea53eaf57295f914099586,,0,1,1,1,0,1,0,0,0,0,0,机器学习（含深度学习）
Representation Learning Using Multi-Task Deep Neural Networks for Semantic Classification and Information Retrieval,2015,437,126,12,c3b8367a80181e28c95630b9b63060d895de08ff,,0,9,25,53,68,71,73,49,37,25,13,表示学习与优化方法
Inflection Generation as Discriminative String Transduction,2015,83,25,1,298288e03674701adb4b3514a4dad6495ef046fe,,0,2,21,20,18,7,7,4,1,0,2,自然语言处理
Penalized Expectation Propagation for Graphical Models over Strings,2015,5,5,0,85c245360922b8da26819d28a1dbd4c821e53260,,0,2,1,2,0,0,0,0,0,0,0,概率统计与推理基础
Joint Generation of Transliterations from Multiple Representations,2015,6,4,0,7d2b0de8ea368c64ce2035603591d287e21a1d0b,,0,3,2,0,1,0,0,0,0,0,0,自然语言处理
Prosodic boundary information helps unsupervised word segmentation,2015,10,4,0,fee9a5a6257fa370f15f29f0ba9ebba7f6728647,,0,0,1,2,1,2,0,3,1,0,0,自然语言处理
So similar and yet incompatible: Toward the automated identification of semantically compatible words,2015,19,3,0,213118baefec177a8a697e20071cde35cdcda931,,0,3,7,4,0,1,2,0,0,1,0,自然语言处理
Do Supervised Distributional Methods Really Learn Lexical Inference Relations?,2015,242,71,3,51c49cc4654dbce3c3de2919800da1e7477d88b3,,1,11,29,33,39,38,36,21,11,13,5,自然语言处理
A Word Embedding Approach to Predicting the Compositionality of Multiword Expressions,2015,108,32,2,275a6dd72ca2dbeb81150b634ea967fc6e7bbb94,,0,2,20,15,13,16,10,4,7,9,4,自然语言处理
Word Embedding-based Antonym Detection using Thesauri and Distributional Information,2015,110,39,2,808a225d7a943041612411b23c0b68f63b89a437,,0,2,12,14,20,25,15,7,8,2,3,自然语言处理
A Comparison of Word Similarity Performance Using Explanatory and Non-explanatory Texts,2015,15,3,1,79ebccb1734327bf9c3c0e0ccf12ef4ce2bc562e,,0,0,0,0,3,5,3,2,0,2,0,自然语言处理
Morphological Modeling for Machine Translation of English-Iraqi Arabic Spoken Dialogs,2015,5,0,0,ccce80093705751843bad4c8b137612dda29a63a,,0,1,1,2,0,1,0,0,0,0,0,自然语言处理
Continuous Adaptation to User Feedback for Statistical Machine Translation,2015,2,0,0,996f50abcdc71fd942f6d9cd0c6a201e4843717e,,0,0,0,1,0,1,0,0,0,0,0,自然语言处理
Normalized Word Embedding and Orthogonal Transform for Bilingual Word Translation,2015,425,154,8,77e576c02792d7df5b102bb81d49df4b5382e1cc,,0,5,11,15,57,98,90,35,36,37,15,自然语言处理
Fast and Accurate Preordering for SMT using Neural Networks,2015,34,6,1,6963a8e0c00387ee4f05c9a280cd7939aef23753,,0,6,10,4,3,5,3,2,1,0,0,自然语言处理
APRO: All-Pairs Ranking Optimization for MT Tuning,2015,7,3,0,474c057eed18cb79601700e9d5e60b510e5cd5e0,,0,2,2,1,2,0,0,0,0,0,0,自然语言处理
Paradigm classification in supervised learning of morphology,2015,70,18,0,6bbe1e822d2916c928efa3093accd9d569459972,,0,3,17,15,14,5,8,4,3,0,1,自然语言处理
Shift-Reduce Constituency Parsing with Dynamic Programming and POS Tag Lattice,2015,19,13,0,35ba7e131ed10befa46678b5864ed488d5319722,,0,3,7,3,3,1,1,1,0,0,0,自然语言处理
Unsupervised Code-Switching for Multilingual Historical Document Transcription,2015,22,9,0,6627fd14822c817ada125167aff1294622f87841,,1,1,8,4,0,1,1,1,1,4,0,自然语言处理
Matching Citation Text and Cited Spans in Biomedical Literature: a Search-Oriented Approach,2015,23,9,1,5704b2d1740cc6a49592d2fb1b67b64e7e5ffda3,,0,1,0,6,1,3,2,2,2,5,0,自然语言处理
Effective Feature Integration for Automated Short Answer Scoring,2015,65,19,2,9a4711072b94c25a18c07ebc771c9ad425d81cd9,,0,1,6,6,5,7,9,5,9,6,6,自然语言处理
Socially-Informed Timeline Generation for Complex Events,2015,31,12,0,9b675bf14cb0455d56db9dda8b4eec53478f8537,,0,1,2,2,4,4,5,5,3,3,0,自然语言处理
Movie Script Summarization as Graph-based Scene Extraction,2015,81,36,0,230b3e73b581704986a404510bcc3c91826f4e03,,0,1,3,8,8,6,13,7,8,13,9,自然语言处理
Toward Abstractive Summarization Using Semantic Representations,2015,311,84,9,1c37654db8b6a86795b9c83d214d994fe46f6a37,,0,11,32,30,43,40,26,32,41,14,24,自然语言处理
Encoding World Knowledge in the Evaluation of Local Coherence,2015,16,4,2,fcdae9f07f3837ecf833ddfac1acc5027adfd18d,,0,0,3,3,3,0,3,4,0,0,0,自然语言处理
Chinese Event Coreference Resolution: An Unsupervised Probabilistic Model Rivaling Supervised Resolvers,2015,13,8,0,5af801074e241a6cbba10a45aaf3580bf466ab43,,0,0,2,2,3,1,1,3,0,0,1,自然语言处理
Removing the Training Wheels: A Coreference Dataset that Entertains Humans and Challenges Computers,2015,30,13,0,37f4dd9e51ba327bd0514017d53f338ccdb38923,,0,2,3,0,5,6,1,6,6,1,0,自然语言处理
Injecting Logical Background Knowledge into Embeddings for Relation Extraction,2015,271,90,4,822f1ed9a76a57cc19d8fda7745365b97130b97a,,0,10,25,41,32,38,39,33,19,16,9,表示学习与优化方法
Unsupervised Entity Linking with Abstract Meaning Representation,2015,97,32,0,e56a36dd9efc573bc4dab3d3d2fcc183448b6a31,,0,8,13,17,19,12,10,6,7,1,3,自然语言处理
Idest: Learning a Distributed Representation for Event Patterns,2015,6,0,1,51b4ff56b0cf1905f17684a12f9f35860c2d8f4c,,0,0,3,1,1,0,1,0,0,0,0,表示学习与优化方法
High-Order Low-Rank Tensors for Semantic Role Labeling,2015,49,25,0,4f752acbd8cb911d4fa20a72f0aa946dda949406,,0,6,5,8,7,6,6,4,2,1,1,自然语言处理
Lexical Event Ordering with an Edge-Factored Model,2015,17,7,0,87a09eb3a95ff78bd8dd9ae2ce6a2062507cabda,,0,1,1,3,0,3,4,1,2,1,1,自然语言处理
Bag-of-Words Forced Decoding for Cross-Lingual Information Retrieval,2015,20,4,1,2caa23fb5e8d4d866b8209865c09d849e8f6eb9f,,1,3,3,3,2,2,1,3,1,0,0,自然语言处理
Accurate Evaluation of Segment-level Machine Translation Metrics,2015,106,29,1,bb76dc8fd02d3dee5cd0d8bac1229a2715ad9b27,,0,6,15,11,12,13,12,9,12,7,5,自然语言处理
Leveraging Small Multilingual Corpora for SMT Using Many Pivot Languages,2015,25,2,1,b13a6aac465c6971c9551a5d48551a459713e613,,0,5,1,5,4,3,1,4,0,2,0,自然语言处理
Why Read if You Can Scan? Trigger Scoping Strategy for Biographical Fact Extraction,2015,5,3,0,5212dbae02bb774e61af4fe12514d3d353f15dc1,,0,1,0,1,0,0,2,1,0,0,0,自然语言处理
Lachmannian Archetype Reconstruction for Ancient Manuscript Corpora,2015,4,1,0,d1e39ce56426234ddcca7f71febe725abd8bbf07,,0,0,2,0,1,1,0,0,0,0,0,自然语言处理
Distributed Representations of Words to Guide Bootstrapped Entity Classifiers,2015,27,13,0,82450a3a5efa3e834f8cb759a0937fc1b5c6a6e2,,0,0,0,1,9,7,4,1,0,4,1,自然语言处理
Multi-Task Word Alignment Triangulation for Low-Resource Languages,2015,6,3,0,3152bef33a55994e3b1ed7eaf9d75fa676bfc951,,0,0,1,1,1,1,1,0,0,1,0,自然语言处理
Automatic cognate identification with gap-weighted string subsequences.,2015,15,3,0,ec4fd7d0c2b696ae607835f2b66cf58a3800af05,,0,1,0,4,4,4,2,0,0,0,0,自然语言处理
Short Text Understanding by Leveraging Knowledge into Topic Model,2015,12,2,0,e1ed02c0bbaa68f2b4fc8b5e2fad7c331a376ffc,,0,0,2,2,1,5,2,0,0,0,0,自然语言处理
Unsupervised Most Frequent Sense Detection using Word Embeddings,2015,50,11,1,b58e477022d79562ce1c5e76218bb328c8fb7c3c,,0,1,8,9,12,5,5,3,3,1,2,自然语言处理
Chain Based RNN for Relation Classification,2015,65,11,3,887bff4baa44bc3ca8dc9f8d67f6c24f7b19eabd,,0,3,10,11,9,6,9,4,5,5,1,自然语言处理
LR Parsing for LCFRS,2015,7,1,0,e538c12ef35081185bd2cdc7912dfb666ac46be9,,0,0,1,3,0,0,2,0,1,0,0,自然语言处理
Mining for unambiguous instances to adapt part-of-speech taggers to new domains,2015,6,4,0,2d197e5b045f3fd1226a4c34144b7e8ce554cbf6,,0,1,3,1,0,0,0,0,0,0,1,自然语言处理
Clustering Sentences with Density Peaks for Multi-document Summarization,2015,48,11,2,9d0c28d20de2ff4f429e95f5247e938acff4f01c,,0,3,5,4,9,5,5,6,6,2,2,自然语言处理
Development of the Multilingual Semantic Annotation System,2015,40,1,2,05ecf19ab393561d31e239865bb0072c781171de,,0,0,5,6,2,7,0,3,4,5,4,自然语言处理
"#WhyIStayed, #WhyILeft: Microblogging to Make Sense of Domestic Abuse",2015,20,5,2,0bb9676ab181ca6a9c7b1fdbd64ef6d8fcc24aac,,0,4,0,2,5,1,5,0,0,2,0,自然语言处理
Morphological Word-Embeddings,2015,102,32,3,ec27e759576f14addeace610304365d96737f644,,0,1,8,16,22,19,17,10,3,2,2,表示学习与优化方法
Recognizing Social Constructs from Textual Conversation,2015,1,1,0,6fc17e670b9366b1aef09bb8e5fad01b80d411ac,,0,0,0,1,0,0,0,0,0,0,0,自然语言处理
Two/Too Simple Adaptations of Word2Vec for Syntax Problems,2015,394,98,13,b92513dac9d5b6a4683bcc625b94dd1ced98734e,,0,23,39,68,54,63,59,31,20,17,7,自然语言处理
Estimating Numerical Attributes by Bringing Together Fragmentary Clues,2015,12,2,0,d70aedeafc16123085b1ac08b4b94288222942d6,,0,1,4,3,1,2,0,1,0,0,0,概率统计与推理基础
Unsupervised POS Induction with Word Embeddings,2015,76,23,3,0d449230ce76c11fb86cb6d1effb7e80703f44bb,,0,2,12,9,12,12,16,4,3,3,0,自然语言处理
Improving Update Summarization via Supervised ILP and Sentence Reranking,2015,22,4,0,ae37e0d13547caa149273cab7883d2dd721d465a,,0,1,5,4,4,2,1,2,2,1,0,自然语言处理
MPQA 3.0: An Entity/Event-Level Sentiment Corpus,2015,164,34,3,3bc2a6cf602c3f4e6ef950db95613393941a507a,,0,5,16,18,24,16,35,11,18,11,5,自然语言处理
