title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
A Dynamics and Task Decoupled Reinforcement Learning Architecture for High-Efficiency Dynamic Target Intercept.,2023,2,2,0,5f08ec6254022a2bfaeebb9d9c72404a1351c078,,0,0,0,0,0,0,0,0,0,1,1,强化学习与智能决策
A Fair Generative Model Using LeCam Divergence.,2023,7,1,0,14f5e4afdd089120aa171edb7bfd424f243a618d,,0,0,0,0,0,0,0,0,0,0,5,模型可解释性、公平性、应用系统等
A Fair Incentive Scheme for Community Health Workers.,2023,1,1,0,4eeea5d32ce847d0e36e1ccb4de7dce6036128e3,,0,0,0,0,0,0,0,0,0,1,0,模型可解释性、公平性、应用系统等
A Faster Practical Approximation Scheme for the Permanent.,2023,0,0,0,d883d135250580201b091e1552128b0a29a7052c,,0,0,0,0,0,0,0,0,0,0,0,概率统计与推理基础
A Formal Metareasoning Model of Concurrent Planning and Execution.,2023,3,0,0,a1e304ee403237b71740b837e934ab5153410356,,0,0,0,0,0,0,0,0,0,0,1,强化学习与智能决策
A Framework to Design Approximation Algorithms for Finding Diverse Solutions in Combinatorial Problems.,2023,20,3,0,807cfcbca58e27d087a913be5c2481e524aeb7f9,,0,0,0,0,0,0,0,0,2,3,8,表示学习与优化方法
A Generalized Scalarization Method for Evolutionary Multi-Objective Optimization.,2023,9,2,0,0239c9c90a81686ac386aee7d795096858bb8c8a,,0,0,0,0,0,0,0,0,0,1,4,表示学习与优化方法
A Generalized Unbiased Risk Estimator for Learning with Augmented Classes.,2023,0,0,0,5dd1c14cc13e80ded379a8ed4cb04cbaed9aa01d,,0,0,0,0,0,0,0,0,0,0,0,机器学习（含深度学习）
A Generative Approach for Script Event Prediction via Contrastive Fine-Tuning.,2023,19,4,0,2a34d4e279e8da66a5600b1943de07ac5ddee402,,0,0,0,0,0,0,0,0,0,3,7,自然语言处理
A Gift from Label Smoothing: Robust Training with Adaptive Label Smoothing via Auxiliary Classifier under Label Noise.,2023,7,0,1,18048fcf06e2f131d93dbc1a6c3708f0f188a344,,0,0,0,0,0,0,0,0,0,0,3,机器学习（含深度学习）
A Graph Fusion Approach for Cross-Lingual Machine Reading Comprehension.,2023,2,0,0,8c36246da412610435d605063885646b279958de,,0,0,0,0,0,0,0,0,0,0,1,自然语言处理
A Holistic Approach to Undesired Content Detection in the Real World.,2023,0,0,0,b69aa32ee52f5efe8e3196114581ac610da8a2b2,,0,0,0,0,0,0,0,0,0,0,0,模型可解释性、公平性、应用系统等
A Latent-Variable Model for Intrinsic Probing.,2023,0,0,0,c0b9c2dacf76f2a55575291c117fec7162f745d3,,0,0,0,0,0,0,0,0,0,0,0,概率统计与推理基础
A Learnable Radial Basis Positional Embedding for Coordinate-MLPs.,2023,10,2,0,c44da47301bae65f687650997293ba1933ec9015,,0,0,0,0,0,0,0,1,2,0,7,表示学习与优化方法
"A Machine with Short-Term, Episodic, and Semantic Memory Systems.",2023,6,0,0,d823694648cff737e14a613d5c743ac2b6cf39bf,,0,0,0,0,0,0,0,0,0,0,0,强化学习与智能决策
A Model-Agnostic Heuristics for Selective Classification.,2023,10,4,1,4ddaaf045afc618f3a1c849d6a088b7982e8477a,,0,0,0,0,0,0,0,1,1,2,4,模型可解释性、公平性、应用系统等
A Neural Span-Based Continual Named Entity Recognition Model.,2023,13,0,0,078de8a6e93c7679fd82bd4527681b2ff1963e25,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
A Noise-Tolerant Differentiable Learning Approach for Single Occurrence Regular Expression with Interleaving.,2023,2,1,0,2764258ec19ed233f2871574f31f90e587cdac01,,0,0,0,0,0,0,0,0,0,1,1,自然语言处理
A Pair-Approximation Method for Modelling the Dynamics of Multi-Agent Stochastic Games.,2023,4,2,0,ab178e4e4389cc2578617dec3186c313b4a35cb2,,0,0,0,0,0,0,0,0,0,0,4,强化学习与智能决策
A Parameterized Theory of PAC Learning.,2023,7,0,0,26b394a90119f8ee2a9820d92cc28780c600cca7,,0,0,0,0,0,0,0,0,0,4,1,基础AI理论
A Provable Framework of Learning Graph Embeddings via Summarization.,2023,6,2,0,bc4bf8864aff1d41ad76d677714ea21606b290c4,,0,0,0,0,0,0,0,0,0,1,2,表示学习与优化方法
A Question-Answering Approach to Key Value Pair Extraction from Form-Like Document Images.,2023,14,1,0,f5ddb5440ac6eb46da1b91b6bfe247c3a45eaaf1,,0,0,0,0,0,0,0,0,0,2,6,计算机视觉
A Risk-Sensitive Approach to Policy Optimization.,2023,8,0,0,2a1b41221def527e17eb1ca04f4f32442fa09ba7,,0,0,0,0,0,0,0,0,0,3,2,强化学习与智能决策
A Scope Sensitive and Result Attentive Model for Multi-Intent Spoken Language Understanding.,2023,16,5,1,38ec6fc80ccbf1dd8a7e66111ff37473f9edbad8,,0,0,0,0,0,0,0,0,0,2,6,自然语言处理
A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks.,2023,5,1,0,80df6f7525f24cce6d3d4c5f1a17566613a6f60d,,0,0,0,0,0,0,0,0,0,1,2,概率统计与推理基础
A Semidefinite Relaxation Based Branch-and-Bound Method for Tight Neural Network Verification.,2023,3,1,0,621bba60ab56347038696b287b21c2bd8132b16b,,0,0,0,0,0,0,0,0,0,0,1,模型可解释性、公平性、应用系统等
A Set of Control Points Conditioned Pedestrian Trajectory Prediction.,2023,62,22,2,8c6eef90065c8c35e6051e80478c993b48a783e8,,0,0,0,0,0,0,0,0,0,7,21,计算机视觉
A Simple Baseline for Multi-Camera 3D Object Detection.,2023,27,12,1,b0226ed79f7b9efe06adfd0c093228a354bc5197,,0,0,0,0,0,0,0,0,2,4,11,计算机视觉
A Simple Unified Approach to Testing High-Dimensional Conditional Independences for Categorical and Ordinal Data.,2023,8,0,0,24a2b64e8daa805c6de265a70ad7f0c2b45479d1,,0,0,0,0,0,0,0,1,0,2,1,概率统计与推理基础
A Simple Yet Effective Subsequence-Enhanced Approach for Cross-Domain NER.,2023,10,6,0,593434904a5fe302aa876d7736a737c86e795724,,0,0,0,0,0,0,0,0,1,2,1,自然语言处理
A Speaker Turn-Aware Multi-Task Adversarial Network for Joint User Satisfaction Estimation and Sentiment Analysis.,2023,2,0,0,cf3b0c1331f4aeb15218c5d55a46655a237afc78,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
A Structural Complexity Analysis of Synchronous Dynamical Systems.,2023,1,0,0,91704981d91f327d3304eea20d75f318b969448e,,0,0,0,0,0,0,0,0,0,0,1,基础AI理论
A Survey on Model Compression and Acceleration for Pretrained Language Models.,2023,80,13,0,c546e5447f412bf4f274e490996718641b211aa6,,0,0,0,0,0,0,0,0,2,22,29,自然语言处理
A Tale of Two Latent Flows: Learning Latent Space Normalizing Flow with Short-Run Langevin Flow for Approximate Inference.,2023,7,2,0,2314afc804b9c425cefda5c7854ac4110e7b4812,,0,0,0,0,0,0,0,0,0,3,3,概率统计与推理基础
A Vector Quantized Approach for Text to Speech Synthesis on Real-World Spontaneous Speech.,2023,46,24,0,4b8d3ede673ddeab9dfb5184da6b748d7a526754,,0,0,0,0,0,0,0,0,1,13,20,自然语言处理
AC-Band: A Combinatorial Bandit-Based Approach to Algorithm Configuration.,2023,7,2,0,fe95085e0a6d19a60a524f85be5ccd63a5959735,,0,0,0,0,0,0,0,0,0,2,2,表示学习与优化方法
ACE: Cooperative Multi-Agent Q-learning with Bidirectional Action-Dependency.,2023,32,5,0,48e556c2c67b7d05ea16ec0354bcc0372c927fbb,,0,0,0,0,0,0,0,0,2,8,9,强化学习与智能决策
ACL-Net: Semi-supervised Polyp Segmentation via Affinity Contrastive Learning.,2023,28,4,0,b7fe355f1db5dbf47e4ac223c7a48e8dbaa7cbe1,,0,0,0,0,0,0,0,0,0,3,15,计算机视觉
ADEPT: A DEbiasing PrompT Framework.,2023,33,6,0,1abd4fa45ce20175452aa238870db2aebe9c0fe0,,0,0,0,0,0,0,0,0,0,4,15,模型可解释性、公平性、应用系统等
AEC-GAN: Adversarial Error Correction GANs for Auto-Regressive Long Time-Series Generation.,2023,12,2,0,7a084f14b45e83fd2d870d0cdbe38560cd2c07c9,,0,0,0,0,0,0,0,0,0,1,2,机器学习（含深度学习）
AMOM: Adaptive Masking over Masking for Conditional Masked Language Model.,2023,12,6,0,a8767413d9b969b04c9c440a30f6b7c6a9c4b1bc,,0,0,0,0,0,0,0,0,0,3,5,自然语言处理
AUC Maximization for Low-Resource Named Entity Recognition.,2023,9,2,0,87778991ffea60f1d4e80d726335338270ecc2f6,,0,0,0,0,0,0,0,0,0,4,3,自然语言处理
Abstract Argumentation Framework with Conditional Preferences.,2023,19,4,0,ed43175c3bd2e197de2eb4558528c09017c23c17,,0,0,0,0,0,0,0,0,1,8,5,基础 AI 理论
Accelerating Inverse Learning via Intelligent Localization with Exploratory Sampling.,2023,3,0,0,123c93e88781f2602e8558b87e80c88c4b3ab529,,0,0,0,0,0,0,0,0,0,1,2,表示学习与优化方法
Accelerating the Training of Video Super-resolution Models.,2023,4,2,0,060bac73d0c6cab65b91f77364645a0afe142d38,,0,0,0,0,0,0,0,0,0,1,2,计算机视觉
Acceleration of Large Transformer Model Training by Sensitivity-Based Layer Dropping.,2023,2,1,0,05edd3c2ede087fa0fdfe8d2ecbf1aa95ce600f3,,0,0,0,0,0,0,0,0,0,0,2,机器学习（含深度学习）
Accommodating Audio Modality in CLIP for Multimodal Processing.,2023,16,6,0,98ab8260c98030109ba8467f52b13d075276cf0f,,0,0,0,0,0,0,0,0,1,2,5,多模态学习
Achieving Zero Constraint Violation for Constrained Reinforcement Learning via Conservative Natural Policy Gradient Primal-Dual Algorithm.,2023,26,9,0,72a305df18fe9010374504bce7c0ec485809b7c3,,0,0,0,0,0,0,0,2,4,4,8,强化学习与智能决策
Action-Conditioned Generation of Bimanual Object Manipulation Sequences.,2023,13,7,0,44d343bfa354e4afa7a3bed82a7831d677e3e210,,0,0,0,0,0,0,0,0,0,2,5,强化学习与智能决策
Actional Atomic-Concept Learning for Demystifying Vision-Language Navigation.,2023,5,0,0,137330d3030f75b01c88c14e1164d9b0d8c2dc70,,0,0,0,0,0,0,0,0,0,0,2,多模态学习
Actionness Inconsistency-Guided Contrastive Learning for Weakly-Supervised Temporal Action Localization.,2023,11,0,0,fce2e326ec543ef51f6d6e0294ae21d5074320bc,,0,0,0,0,0,0,0,0,0,1,4,计算机视觉
Active Token Mixer.,2023,22,2,1,391fecb4d4468f46d0fb19e60948830139ddefec,,0,0,0,0,0,0,0,0,0,2,7,表示学习与优化方法
AdapSafe: Adaptive and Safe-Certified Deep Reinforcement Learning-Based Frequency Control for Carbon-Neutral Power Systems.,2023,8,1,0,11389a70e115c21169f365f3e944f517cebfe555,,0,0,0,0,0,0,0,0,0,2,4,强化学习与智能决策
Adapting Object Size Variance and Class Imbalance for Semi-supervised Object Detection.,2023,17,8,1,7a30c72de1c89f3c1c38f8e4390699c86bb15626,,0,0,0,0,0,0,0,0,0,3,5,计算机视觉
Adaptive Discrete Communication Bottlenecks with Dynamic Vector Quantization for Heterogeneous Representational Coarseness.,2023,16,3,1,677f0dbaeddbfce9a7afb5efb6703798e2c99e0f,,0,0,0,0,0,0,0,0,1,8,4,表示学习与优化方法
Adaptive Dynamic Filtering Network for Image Denoising.,2023,62,17,2,6f14a642033b72454afbecdb90c82872d8085dd2,,0,0,0,0,0,0,0,0,1,10,26,计算机视觉
Adaptive Hierarchy-Branch Fusion for Online Knowledge Distillation.,2023,15,3,1,cbd86a65d38affa84976dbb968d89c58668c3bee,,0,0,0,0,0,0,0,0,0,1,8,机器学习（含深度学习）
Adaptive Low-Precision Training for Embeddings in Click-Through Rate Prediction.,2023,23,7,1,624c0373019dabb9f5b69464c0f094013c2b101c,,0,0,0,0,0,0,0,0,0,4,5,机器学习（含深度学习）
Adaptive Mixing of Auxiliary Losses in Supervised Learning.,2023,7,3,0,063acc1ea6ebeb4e4310e2990583f8fed253bf05,,0,0,0,0,0,0,0,0,1,1,3,机器学习（含深度学习）
Adaptive Perturbation-Based Gradient Estimation for Discrete Latent Variable Models.,2023,14,4,0,6282364a3a0486219e4878225b58ed850660ad4c,,0,0,0,0,0,0,0,0,2,1,8,概率统计与推理基础
Adaptive Policy Learning for Offline-to-Online Reinforcement Learning.,2023,39,10,1,f6274e6ba614b46d6283c775cfe4565e8ce50bc8,,0,0,0,0,0,0,0,0,1,6,11,强化学习与智能决策
Adaptive Texture Filtering for Single-Domain Generalized Segmentation.,2023,6,3,0,8d475edd830f150b9a6aa3066524c77913510df8,,0,0,0,0,0,0,0,0,0,0,4,计算机视觉
Adjective Scale Probe: Can Language Models Encode Formal Semantics Information?,2023,6,1,0,23073e785f52e6641a89ba15947910870da2b32a,,0,0,0,0,0,0,0,0,0,2,1,自然语言处理
Adversarial Alignment for Source Free Object Detection.,2023,51,9,3,693a942fa34028de582d18642d73d57c70842303,,0,0,0,0,0,0,0,0,0,4,21,计算机视觉
Adversarial Robust Deep Reinforcement Learning Requires Redefining Robustness.,2023,33,6,1,6143e809cd2e9c7a18c3bc8819419fd3b02fbcf2,,0,0,0,0,0,0,0,2,6,5,10,强化学习与智能决策
Adversarial Weight Perturbation Improves Generalization in Graph Neural Networks.,2023,35,17,0,1e0930a6c4ad4c62c725cfa35e76081eb971a83a,,0,0,0,0,0,0,0,0,6,11,12,表示学习与优化方法
Adversarial Word Dilution as Text Data Augmentation in Low-Resource Regime.,2023,4,1,1,51c2714ab5dbc330619a1a96db994c9905900160,,0,0,0,0,0,0,0,0,0,2,1,自然语言处理
Aesthetically Relevant Image Captioning.,2023,15,3,0,15d6ef576fb07bb5fc07fef6f63708e440396dd9,,0,0,0,0,0,0,0,0,0,0,7,多模态学习
Alignment-Enriched Tuning for Patch-Level Pre-trained Document Image Models.,2023,2,1,0,1ff504e8d0ed00d8e9d6dd317d3b7572d1f3ecaa,,0,0,0,0,0,0,0,0,0,1,0,计算机视觉
Almost Cost-Free Communication in Federated Best Arm Identification.,2023,12,2,0,52382817395bb0c6b7c07e1d41dcb2ce7e30ea1a,,0,0,0,0,0,0,0,0,1,5,3,强化学习与智能决策
AlphaRoute: Large-Scale Coordinated Route Planning via Monte Carlo Tree Search.,2023,9,2,1,b39aecbf900ebdcc4846324ec887d981247df29f,,0,0,0,0,0,0,0,0,0,1,1,强化学习与智能决策
Alternating Layered Variational Quantum Circuits Can Be Classically Optimized Efficiently Using Classical Shadows.,2023,13,1,4,e0499cb8e5a94768e79b577c83fb464b5557d46f,,0,0,0,0,0,0,0,0,0,5,5,表示学习与优化方法
Amodal Instance Segmentation via Prior-Guided Expansion.,2023,23,5,0,0c9b776483a0de5d919842c05b48c029a78b7399,,0,0,0,0,0,0,0,0,0,0,6,计算机视觉
An Adaptive Layer to Leverage Both Domain and Task Specific Information from Scarce Data.,2023,6,1,0,91691c66df6bde3d134137dcdc61580503fe7ab9,,0,0,0,0,0,0,0,0,0,0,4,表示学习与优化方法
An Efficient Algorithm for Fair Multi-Agent Multi-Armed Bandit with Low Regret.,2023,9,3,1,7f36e9584a69c7cc38a0267f40c2a8e4645074b5,,0,0,0,0,0,0,0,0,0,0,3,强化学习与智能决策
An Efficient Deep Reinforcement Learning Algorithm for Solving Imperfect Information Extensive-Form Games.,2023,8,1,0,7674101bb85b2fc228d7a6c8b4eace078a8ba381,,0,0,0,0,0,0,0,0,0,1,3,强化学习与智能决策
An Ensemble Distillation Framework for Sentence Embeddings with Multilingual Round-Trip Translation.,2023,1,0,0,32eca437ef020e692d93cdf3727e7158277ec395,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
An Equivalence Analysis of Binary Quantification Methods.,2023,6,3,0,1a4131e72b4adfaf3290e27a29e904f0be341e6e,,0,0,0,0,0,0,0,0,0,3,2,基础 AI 理论
An Extreme-Adaptive Time Series Prediction Model Based on Probability-Enhanced LSTM Neural Networks.,2023,23,7,2,1023544eb078faa4100c6ac10abc2aa010dd6255,,0,0,0,0,0,0,0,0,0,4,5,机器学习（含深度学习）
An Improved Algorithm for Online Min-Sum Set Cover.,2023,2,0,0,0317a6788b14e4adf34fdced4826c6ca556b0dae,,0,0,0,0,0,0,0,0,0,0,1,表示学习与优化方法
An Improved Approximation Algorithm for Wage Determination and Online Task Allocation in Crowd-Sourcing.,2023,4,0,0,bc8beb173d4dad28357d848b2240d560b81f39f3,,0,0,0,0,0,0,0,0,0,1,1,表示学习与优化方法
An Operator Theoretic Approach for Analyzing Sequence Neural Networks.,2023,13,3,0,d96c0d6c609f460f6761fe56113a461be719989b,,0,0,0,0,0,0,0,0,0,2,7,基础 AI 理论
Analogical Inference Enhanced Knowledge Graph Embedding.,2023,18,2,2,354b651dbc3ba2af4c3785ccbecd3df0585d30b2,,0,0,0,0,0,0,0,0,1,3,7,自然语言处理
Analyzing and Improving the Use of the FastMap Embedding in Pathfinding Tasks.,2023,0,0,0,6939432fb47a75db461f89b1b44e7012adda0006,,0,0,0,0,0,0,0,0,0,0,0,表示学习与优化方法
Anomaly Segmentation for High-Resolution Remote Sensing Images Based on Pixel Descriptors.,2023,12,3,5,be8e35b1753cc7aed92767db46b99289997af62d,,0,0,0,0,0,0,0,0,0,2,5,计算机视觉
Anonymization for Skeleton Action Recognition.,2023,13,1,0,8035ac46f303e67b47aeb4a44ef52ad049481f7e,,0,0,0,0,0,0,0,0,0,3,4,计算机视觉
Anytime User Engagement Prediction in Information Cascades for Arbitrary Observation Periods.,2023,1,0,0,c538e5cfc2c908bf833f8453c72f82a63465a26b,,0,0,0,0,0,0,0,0,0,0,1,模型可解释性、公平性、应用系统等
Approval-Based Voting with Mixed Goods.,2023,11,2,0,4ddf61206194976246e3498899a3e56c0623f606,,0,0,0,0,0,0,0,1,0,3,5,强化学习与智能决策
Approximating Full Conformal Prediction at Scale via Influence Functions.,2023,13,4,0,b29b6315506a0db2cd39cb9faee82c2e8cc0105b,,0,0,0,0,0,0,0,1,3,2,4,概率统计与推理基础
Approximations for Indivisible Concave Allocations with Applications to Nash Welfare Maximization.,2023,0,0,0,bd29605b3a91f1d1166a42514a5c96a6d577ccdd,,0,0,0,0,0,0,0,0,0,0,0,表示学习与优化方法
Are Transformers Effective for Time Series Forecasting?,2023,2727,430,82,5f404dbba07619cc7f28d75d03f124a52290046e,,0,0,0,0,0,0,0,2,18,270,963,模型可解释性、公平性、应用系统等
Astromorphic Self-Repair of Neuromorphic Hardware Systems.,2023,8,1,0,7a2d9d1e7e63561f3fe035e24f758f063233a54e,,0,0,0,0,0,0,0,0,0,2,2,模型可解释性、公平性、应用系统等
Asynchronous Event Processing with Local-Shift Graph Convolutional Network.,2023,1,1,0,29f12988ea953725e791e7467b479f7161a487ac,,0,0,0,0,0,0,0,0,0,0,0,计算机视觉
Attack Can Benefit: An Adversarial Approach to Recognizing Facial Expressions under Noisy Annotations.,2023,17,3,1,4266bba4e036807378abb05b2a9ebe7063c13a94,,0,0,0,0,0,0,0,1,1,1,6,计算机视觉
Attention-Based Depth Distillation with 3D-Aware Positional Encoding for Monocular 3D Object Detection.,2023,28,7,1,6c475af6a695d494b8790ca878f146e795eeb27b,,0,0,0,0,0,0,0,0,0,3,7,计算机视觉
Attention-Conditioned Augmentations for Self-Supervised Anomaly Detection and Localization.,2023,21,3,0,fd6ca61726bc0598d25e3edd4ac98c013deebcb7,,0,0,0,0,0,0,0,0,0,4,12,计算机视觉
Attribute and Structure Preserving Graph Contrastive Learning.,2023,53,12,2,8730e5e6aec81f191f162d9a621ffe18cabaac82,,0,0,0,0,0,0,0,0,1,6,25,表示学习与优化方法
Audio-Visual Contrastive Learning with Temporal Self-Supervision.,2023,23,10,0,e475885c185b803ee025bc26c220c5736a5cfd5c,,0,0,0,0,0,0,0,0,0,4,12,多模态学习
AudioEar: Single-View Ear Reconstruction for Personalized Spatial Audio.,2023,4,0,1,6b42f494bf45ec5e154a007844cc449a07279c4f,,0,0,0,0,0,0,0,0,0,0,2,计算机视觉
Auditing and Robustifying COVID-19 Misinformation Datasets via Anticontent Sampling.,2023,6,2,0,b384ec94b06071fa6d18b5d9352c216420ae02a3,,0,0,0,0,0,0,0,0,0,2,3,模型可解释性、公平性、应用系统等
Augmented Proximal Policy Optimization for Safe Reinforcement Learning.,2023,26,7,1,5ee4efa8f7454770df0c43ce4d6fb65dd085fca5,,0,0,0,0,0,0,0,0,0,5,8,强化学习与智能决策
Augmenting Affective Dependency Graph via Iterative Incongruity Graph Learning for Sarcasm Detection.,2023,28,12,0,f50f7e50573876fde5e9ae714ffb95354b68a0bb,,0,0,0,0,0,0,0,0,0,2,9,自然语言处理
Auto-CM: Unsupervised Deep Learning for Satellite Imagery Composition and Cloud Masking Using Spatio-Temporal Dynamics.,2023,14,2,2,ce11f46a1d3262628578525f7597687afc115d32,,0,0,0,0,0,0,0,0,0,4,2,计算机视觉
Auto-Weighted Multi-View Clustering for Large-Scale Data.,2023,95,10,2,4140a8b76168c5817dab043b3dc3ef9bc6e9cf72,,0,0,0,0,0,0,0,0,1,12,28,表示学习与优化方法
AutoCost: Evolving Intrinsic Cost for Zero-Violation Reinforcement Learning.,2023,20,3,1,b65e9e7f500437a01848ac6fde6692e6b241de85,,0,0,0,0,0,0,0,0,1,7,8,强化学习与智能决策
AutoGraph: Optimizing DNN Computation Graph for Parallel GPU Kernel Execution.,2023,6,3,0,795a7d22873640b0cffcf9632bfa3ae00dd8566e,,0,0,0,0,0,0,0,0,0,0,2,模型可解释性、公平性、应用系统等
AutoNF: Automated Architecture Optimization of Normalizing Flows with Unconstrained Continuous Relaxation Admitting Optimal Discrete Solution.,2023,1,0,0,79a5783a3dc2c19c632bc5d39a57b17c87ce9633,,0,0,0,0,0,0,0,0,0,1,0,概率统计与推理基础
AutoSTL: Automated Spatio-Temporal Multi-Task Learning.,2023,28,14,1,64ff803d5256b6b48c74ac5229db4c7a864172a7,,0,0,0,0,0,0,0,0,0,9,7,机器学习（含深度学习）
AutoStegaFont: Synthesizing Vector Fonts for Hiding Information in Documents.,2023,5,0,0,6225139fe937b85a1a4a7d03e10354745f764b5c,,0,0,0,0,0,0,0,0,0,0,3,计算机视觉
Automata Cascades: Expressivity and Sample Complexity.,2023,2,0,0,273b47ea69844de1d142ea61f72fba50afcf0107,,0,0,0,0,0,0,0,0,0,0,0,基础 AI 理论
Automated Verification of Propositional Agent Abstraction for Classical Planning via CTLK Model Checking.,2023,3,1,0,072f7b74cf9bf19d6b498aed1aeb23ece57cc1e9,,0,0,0,0,0,0,0,0,0,0,2,强化学习与智能决策
Automated Verification of Social Laws in Numeric Settings.,2023,1,0,0,f60df74cf98cfee51397b9827bc5979f6341fb7b,,0,0,0,0,0,0,0,0,0,0,0,强化学习与智能决策
Automatically Verifying Expressive Epistemic Properties of Programs.,2023,1,1,0,5ba6cfee1efd0cddec2e744b12f0cca7e76ad3e8,,0,0,0,0,0,0,0,0,0,0,1,概率统计与推理基础
BERT-ERC: Fine-Tuning BERT Is Enough for Emotion Recognition in Conversation.,2023,35,5,3,eecd7b3394fc68901db974a2ff8f950c3a7a7705,,0,0,0,0,0,0,0,0,0,7,16,自然语言处理
BEST: BERT Pre-training for Sign Language Recognition with Coupling Tokenization.,2023,58,9,2,919efc30ab8c45456ab72fb4ebeb5e25f2ad7642,,0,0,0,0,0,0,0,0,1,3,12,计算机视觉
BETA-CD: A Bayesian Meta-Learned Cognitive Diagnosis Framework for Personalized Learning.,2023,16,5,1,44deaf38f9a4b9a0c274fbc4acc5ace2d6f06c01,,0,0,0,0,0,0,0,0,0,1,5,概率统计与推理基础
BEVStereo: Enhancing Depth Estimation in Multi-View 3D Object Detection with Temporal Stereo.,2023,168,45,5,1285d14bffedcc4362fdd05213fd6ee4ec5ca885,,0,0,0,0,0,0,0,0,1,15,75,计算机视觉
BIFRNet: A Brain-Inspired Feature Restoration DNN for Partially Occluded Image Recognition.,2023,4,1,0,a98a2cc9a60c3e04ce89cf85f432e944153d27e4,,0,0,0,0,0,0,0,0,0,1,3,计算机视觉
Back to the Future: Toward a Hybrid Architecture for Ad Hoc Teamwork.,2023,7,0,0,118fd51b49e4f344873b8246bb051afb66c0c8d9,,0,0,0,0,0,0,0,0,0,3,1,强化学习与智能决策
Background-Mixed Augmentation for Weakly Supervised Change Detection.,2023,33,3,15,0e4d8a2985ee177159ff2525aabd7415054b3374,,0,0,0,0,0,0,0,0,1,5,10,计算机视觉
Backpropagation-Free Deep Learning with Recursive Local Representation Alignment.,2023,14,2,0,5ea7d9d34cbe1b6c33c2f1677d577319ed658f16,,0,0,0,0,0,0,0,0,1,3,5,表示学习与优化方法
Balanced Column-Wise Block Pruning for Maximizing GPU Parallelism.,2023,9,2,0,6872c4cf5268a64f897cf3bcd2af0a5e1e0210e0,,0,0,0,0,0,0,0,0,0,0,5,模型可解释性、公平性、应用系统等
Balanced Meta Learning and Diverse Sampling for Lifelong Task-Oriented Dialogue Systems.,2023,1,1,0,037f360a564d81015ad2d404a6bb0cd3a1468088,,0,0,0,0,0,0,0,0,0,0,1,自然语言处理
